student_id,course,final_grade
S0314,Data Science,56.0
S0315,AI Fundamentals,63.0
S0316,Data Engineering,78.0
S0317,Data Science,53.0
S0318,Data Engineering,94.0
S0319,Cloud Computing,88.0
S0320,Data Science,97.0
S0321,Data Engineering,54.0
S0322,Cloud Computing,50.0
S0323,Cloud Computing,61.0
S0324,Cloud Computing,88.0
S0325,Data Science,56.0
S0326,Cloud Computing,70.0
S0327,AI Fundamentals,56.0
S0328,Data Engineering,66.0
S0329,AI Fundamentals,50.0
S0330,Cloud Computing,53.0
S0331,Cloud Computing,55.0
S0332,AI Fundamentals,97.0
S0333,Data Science,89.0
S0334,Cloud Computing,66.0
S0335,Cloud Computing,75.0
S0336,AI Fundamentals,80.0
S0337,Cloud Computing,77.0
S0338,Cloud Computing,61.0
S0339,Data Science,90.0
S0340,Data Science,50.0
S0341,Data Science,83.0
S0342,Data Science,75.0
S0343,Data Science,64.0
S0344,Cloud Computing,98.0
S0345,Data Engineering,84.0
S0346,Cloud Computing,90.0
S0347,Cloud Computing,100.0
S0348,Data Engineering,100.0
S0349,AI Fundamentals,93.0
S0350,Data Engineering,88.0
S0351,Data Science,69.0
S0352,Cloud Computing,92.0
S0353,Data Science,84.0
S0354,Data Engineering,88.0
S0355,AI Fundamentals,71.0
S0356,AI Fundamentals,70.0
S0357,Cloud Computing,76.0
S0358,Data Engineering,85.0
S0359,Data Science,77.0
S0360,Data Science,53.0
S0361,AI Fundamentals,75.0
S0362,Cloud Computing,57.0
S0363,Data Engineering,54.0
S0364,Data Science,54.0
S0365,AI Fundamentals,59.0
S0366,Cloud Computing,54.0
S0367,AI Fundamentals,83.0
S0368,Cloud Computing,99.0
S0369,Data Engineering,60.0
S0370,AI Fundamentals,73.0
S0371,Data Science,98.0
S0372,Cloud Computing,82.0
S0373,AI Fundamentals,63.0
S0374,Cloud Computing,71.0
S0375,AI Fundamentals,78.0
S0376,AI Fundamentals,73.0
S0377,Data Engineering,98.0
S0378,Data Science,55.0
S0379,AI Fundamentals,52.0
S0380,Data Engineering,50.0
S0381,Cloud Computing,59.0
S0382,Cloud Computing,57.0
S0383,AI Fundamentals,79.0
S0384,Data Science,71.0
S0385,Cloud Computing,66.0
S0386,AI Fundamentals,64.0
S0387,Cloud Computing,69.0
S0388,Data Engineering,87.0
S0389,AI Fundamentals,76.0
S0390,AI Fundamentals,62.0
S0391,AI Fundamentals,65.0
S0392,Data Engineering,69.0
S0393,AI Fundamentals,68.0
S0394,AI Fundamentals,92.0
S0395,Data Engineering,52.0
S0396,Cloud Computing,66.0
S0397,Data Engineering,61.0
S0398,Data Science,85.0
S0399,Data Engineering,59.0
S0400,Cloud Computing,59.0
S0401,AI Fundamentals,80.0
S0402,AI Fundamentals,72.0
S0403,Data Engineering,92.0
S0404,Data Science,70.0
S0405,Data Engineering,91.0
S0406,Data Science,69.0
S0407,Data Engineering,54.0
S0408,Data Science,96.0
S0409,Data Science,65.0
S0410,AI Fundamentals,83.0
S0411,Data Science,50.0
S0412,AI Fundamentals,97.0
S0413,Data Engineering,65.0
S0414,Data Engineering,63.0
S0415,Data Engineering,59.0
S0416,Data Engineering,99.0
S0417,Data Engineering,92.0
S0418,AI Fundamentals,60.0
S0419,Data Engineering,99.0
S0420,Data Science,89.0
S0421,Cloud Computing,84.0
S0422,AI Fundamentals,89.0
S0423,Data Science,98.0
S0424,Cloud Computing,94.0
S0425,Cloud Computing,94.0
S0426,AI Fundamentals,92.0
S0427,Data Science,51.0
S0428,Cloud Computing,58.0
S0429,Cloud Computing,50.0
S0430,AI Fundamentals,61.0
S0431,Data Engineering,76.0
S0432,Cloud Computing,80.0
S0433,AI Fundamentals,93.0
S0434,AI Fundamentals,92.0
S0435,Data Science,69.0
S0436,AI Fundamentals,71.0
S0437,AI Fundamentals,97.0
S0438,Data Engineering,51.0
S0439,Cloud Computing,68.0
S0440,Data Science,78.0
S0441,AI Fundamentals,61.0
S0442,Data Science,99.0
S0443,Cloud Computing,89.0
S0444,AI Fundamentals,59.0
S0445,AI Fundamentals,74.0
S0446,Data Science,54.0
S0447,Data Engineering,76.0
S0448,Cloud Computing,93.0
S0449,Cloud Computing,71.0
S0450,Cloud Computing,64.0
S0451,AI Fundamentals,79.0
S0452,AI Fundamentals,51.0
S0453,AI Fundamentals,64.0
S0454,Data Science,50.0
S0455,Cloud Computing,65.0
S0456,Cloud Computing,83.0
S0457,Cloud Computing,82.0
S0458,Data Engineering,87.0
S0459,AI Fundamentals,55.0
S0460,Cloud Computing,80.0
S0461,Cloud Computing,91.0
S0462,AI Fundamentals,97.0
S0463,AI Fundamentals,100.0
S0464,Cloud Computing,59.0
S0465,Data Science,57.0
S0466,Data Science,80.0
S0467,Data Science,71.0
S0468,Data Science,80.0
S0469,Data Engineering,91.0
S0470,Data Science,58.0
S0471,Cloud Computing,51.0
S0472,Cloud Computing,95.0
S0473,Cloud Computing,71.0
S0474,Data Science,58.0
S0475,AI Fundamentals,95.0
S0476,Cloud Computing,99.0
S0477,Data Science,50.0
S0478,Data Engineering,77.0
S0479,Data Engineering,100.0
S0480,Cloud Computing,98.0
S0481,AI Fundamentals,75.0
S0482,Data Engineering,79.0
S0483,Data Science,57.0
S0484,Data Science,76.0
S0485,Data Engineering,81.0
S0486,Cloud Computing,64.0
S0487,Cloud Computing,69.0
S0488,Data Engineering,58.0
S0489,Data Science,89.0
S0490,AI Fundamentals,79.0
S0491,Data Science,73.0
S0492,AI Fundamentals,63.0
S0493,AI Fundamentals,90.0
S0494,Data Engineering,51.0
S0495,Cloud Computing,75.0
S0496,AI Fundamentals,74.0
S0497,Data Science,80.0
S0498,Cloud Computing,91.0
S0499,Cloud Computing,66.0
S0500,Data Science,61.0
S0501,Data Engineering,89.0
S0502,Cloud Computing,57.0
S0503,AI Fundamentals,88.0
S0504,Data Science,71.0
S0505,AI Fundamentals,74.0
S0506,Data Science,87.0
S0507,Data Science,93.0
S0508,Cloud Computing,86.0
S0509,Data Science,82.0
S0510,Cloud Computing,59.0
S0511,Data Science,99.0
S0512,Cloud Computing,90.0
S0513,Cloud Computing,66.0
S0514,Data Engineering,85.0
S0515,Cloud Computing,53.0
S0516,Cloud Computing,89.0
S0517,Cloud Computing,87.0
S0518,Data Engineering,53.0
S0519,AI Fundamentals,90.0
S0520,AI Fundamentals,85.0
S0521,Data Engineering,51.0
S0522,Cloud Computing,53.0
S0523,Cloud Computing,61.0
S0524,Data Science,53.0
S0525,AI Fundamentals,96.0
S0526,Cloud Computing,62.0
S0527,Cloud Computing,82.0
S0528,AI Fundamentals,89.0
S0529,Cloud Computing,100.0
S0530,Data Engineering,50.0
S0531,Cloud Computing,97.0
S0532,Cloud Computing,73.0
S0533,AI Fundamentals,57.0
S0534,Data Engineering,51.0
S0535,Data Science,84.0
S0536,AI Fundamentals,63.0
S0537,Data Science,80.0
S0538,Data Science,71.0
S0539,Data Engineering,67.0
S0540,Data Science,73.0
S0541,Data Engineering,85.0
S0542,Cloud Computing,83.0
S0543,Data Engineering,56.0
S0544,AI Fundamentals,74.0
S0545,Data Science,84.0
S0546,Data Engineering,90.0
S0547,AI Fundamentals,88.0
S0548,Data Engineering,59.0
S0549,Data Science,74.0
S0550,Data Science,79.0
S0551,AI Fundamentals,55.0
S0552,AI Fundamentals,98.0
S0553,AI Fundamentals,98.0
S0554,AI Fundamentals,75.0
S0555,AI Fundamentals,54.0
S0556,Data Science,96.0
S0557,Cloud Computing,88.0
S0558,AI Fundamentals,50.0
S0559,Cloud Computing,64.0
S0560,AI Fundamentals,59.0
S0561,AI Fundamentals,86.0
S0562,AI Fundamentals,97.0
S0563,Data Science,100.0
S0564,Cloud Computing,78.0
S0565,Data Science,65.0
S0566,Data Engineering,52.0
S0567,AI Fundamentals,86.0
S0568,AI Fundamentals,57.0
S0569,Cloud Computing,67.0
S0570,Data Science,81.0
S0571,Data Science,93.0
S0572,Data Science,91.0
S0573,AI Fundamentals,65.0
S0574,Cloud Computing,78.0
S0575,Data Engineering,92.0
S0576,Data Engineering,81.0
S0577,Data Science,72.0
S0578,Cloud Computing,100.0
S0579,Data Science,73.0
S0580,Data Science,54.0
S0581,Data Science,50.0
S0582,Data Engineering,67.0
S0583,Data Engineering,56.0
S0584,Data Science,54.0
S0585,Cloud Computing,61.0
S0586,Data Engineering,82.0
S0587,Data Science,66.0
S0588,Data Engineering,52.0
S0589,AI Fundamentals,60.0
S0590,AI Fundamentals,89.0
S0591,Data Engineering,88.0
S0592,Data Science,89.0
S0593,Data Engineering,50.0
S0594,Cloud Computing,59.0
S0595,Data Science,61.0
S0596,Data Science,94.0
S0597,Data Science,67.0
S0598,Data Science,86.0
S0599,Cloud Computing,91.0
S0600,Data Engineering,97.0
S0601,Data Engineering,55.0
S0602,AI Fundamentals,91.0
S0603,Data Science,98.0
S0604,AI Fundamentals,88.0
S0605,Cloud Computing,86.0
S0606,Data Engineering,54.0
S0607,Data Engineering,99.0
S0608,Data Science,61.0
S0609,Data Engineering,89.0
S0610,Cloud Computing,79.0
S0611,Cloud Computing,93.0
S0612,Data Science,95.0
S0613,AI Fundamentals,61.0
S0614,Data Science,92.0
S0615,Cloud Computing,82.0
S0616,Data Engineering,51.0
S0617,Data Engineering,94.0
S0618,Data Engineering,97.0
S0619,Cloud Computing,84.0
S0620,AI Fundamentals,92.0
S0621,Data Science,92.0
S0622,AI Fundamentals,94.0
S0623,Data Engineering,60.0
S0624,Data Science,92.0
S0625,Cloud Computing,90.0
S0626,Cloud Computing,96.0
S0627,AI Fundamentals,89.0
S0628,Data Science,65.0
S0629,Data Engineering,95.0
S0630,AI Fundamentals,76.0
S0631,Cloud Computing,91.0
S0632,Data Science,90.0
S0633,Data Science,94.0
S0634,Cloud Computing,98.0
S0635,Data Engineering,66.0
S0636,Data Engineering,93.0
S0637,Cloud Computing,78.0
S0638,Cloud Computing,50.0
S0639,Data Engineering,94.0
S0640,AI Fundamentals,52.0
S0641,AI Fundamentals,72.0
S0642,Data Science,74.0
S0643,Data Science,94.0
S0644,AI Fundamentals,69.0
S0645,Data Science,80.0
S0646,AI Fundamentals,63.0
S0647,Data Science,57.0
S0648,AI Fundamentals,69.0
S0649,Data Science,85.0
S0650,Data Science,79.0
S0651,AI Fundamentals,70.0
S0652,Data Engineering,58.0
S0653,AI Fundamentals,60.0
S0654,AI Fundamentals,91.0
S0655,Cloud Computing,84.0
S0656,Data Engineering,96.0
S0657,Data Science,61.0
S0658,Data Engineering,58.0
S0659,Data Engineering,71.0
S0660,Data Engineering,54.0
S0661,Cloud Computing,97.0
S0662,Cloud Computing,57.0
S0663,Data Science,71.0
S0664,AI Fundamentals,72.0
S0665,Data Engineering,56.0
S0666,Data Science,69.0
S0667,Data Science,93.0
S0668,Cloud Computing,56.0
S0669,AI Fundamentals,82.0
S0670,AI Fundamentals,87.0
S0671,Cloud Computing,72.0
S0672,Data Engineering,91.0
S0673,Cloud Computing,71.0
S0674,Data Science,61.0
S0675,Cloud Computing,93.0
S0676,AI Fundamentals,53.0
S0677,Data Engineering,82.0
S0678,Data Science,79.0
S0679,Data Science,71.0
S0680,AI Fundamentals,67.0
S0681,Cloud Computing,55.0
S0682,Data Science,97.0
S0683,Cloud Computing,77.0
S0684,Data Science,51.0
S0685,AI Fundamentals,83.0
S0686,Data Science,90.0
S0687,Data Science,93.0
S0688,Data Engineering,89.0
S0689,Data Science,93.0
S0690,AI Fundamentals,87.0
S0691,Data Science,80.0
S0692,AI Fundamentals,68.0
S0693,Cloud Computing,65.0
S0694,AI Fundamentals,95.0
S0695,Cloud Computing,90.0
S0696,Data Science,79.0
S0697,AI Fundamentals,54.0
S0698,Data Engineering,98.0
S0699,AI Fundamentals,92.0
S0700,Cloud Computing,70.0
S0701,Cloud Computing,66.0
S0702,Data Engineering,71.0
S0703,AI Fundamentals,52.0
S0704,Data Science,70.0
S0705,AI Fundamentals,95.0
S0706,AI Fundamentals,74.0
S0707,AI Fundamentals,93.0
S0708,Data Engineering,70.0
S0709,Data Engineering,95.0
S0710,Data Engineering,65.0
S0711,Data Engineering,83.0
S0712,Data Engineering,74.0
S0713,Data Science,74.0
S0714,AI Fundamentals,90.0
S0715,AI Fundamentals,77.0
S0716,Data Science,53.0
S0717,Data Science,69.0
S0718,Data Science,62.0
S0719,Data Science,100.0
S0720,Data Engineering,94.0
S0721,AI Fundamentals,60.0
S0722,Data Science,59.0
S0723,Cloud Computing,78.0
S0724,Data Science,96.0
S0725,AI Fundamentals,81.0
S0726,Cloud Computing,73.0
S0727,Data Science,63.0
S0728,Data Engineering,55.0
S0729,Data Engineering,95.0
S0730,Cloud Computing,90.0
S0731,Data Engineering,57.0
S0732,Cloud Computing,91.0
S0733,Data Science,96.0
S0734,AI Fundamentals,66.0
S0735,Cloud Computing,100.0
S0736,Data Science,89.0
S0737,Cloud Computing,85.0
S0738,AI Fundamentals,92.0
S0739,Data Engineering,78.0
S0740,Data Engineering,67.0
S0741,Cloud Computing,87.0
S0742,AI Fundamentals,51.0
S0743,Data Science,67.0
S0744,Data Science,80.0
S0745,Data Science,84.0
S0746,Cloud Computing,53.0
S0747,Data Engineering,83.0
S0748,Cloud Computing,93.0
S0749,Cloud Computing,75.0
S0750,Cloud Computing,51.0
S0751,Data Science,84.0
S0752,AI Fundamentals,99.0
S0753,Cloud Computing,89.0
S0754,Data Science,90.0
S0755,Cloud Computing,68.0
S0756,Cloud Computing,91.0
S0757,Data Science,71.0
S0758,AI Fundamentals,97.0
S0759,AI Fundamentals,78.0
S0760,Data Engineering,51.0
S0761,Cloud Computing,91.0
S0762,Data Engineering,88.0
S0763,Data Science,62.0
S0764,Cloud Computing,65.0
S0765,Data Science,78.0
S0766,Data Engineering,75.0
S0767,Data Science,100.0
S0768,Data Science,72.0
S0769,AI Fundamentals,77.0
S0770,Cloud Computing,63.0
S0771,Cloud Computing,83.0
S0772,Cloud Computing,64.0
S0773,Data Science,58.0
S0774,AI Fundamentals,54.0
S0775,Data Engineering,96.0
S0776,Cloud Computing,71.0
S0777,Data Science,95.0
S0778,AI Fundamentals,78.0
S0779,AI Fundamentals,72.0
S0780,Cloud Computing,64.0
S0781,AI Fundamentals,50.0
S0782,AI Fundamentals,100.0
S0783,Data Science,87.0
S0784,Data Engineering,100.0
S0785,AI Fundamentals,59.0
S0786,Data Engineering,83.0
S0787,AI Fundamentals,90.0
S0788,AI Fundamentals,90.0
S0789,AI Fundamentals,57.0
S0790,Cloud Computing,76.0
S0791,Cloud Computing,79.0
S0792,Cloud Computing,100.0
S0793,Data Engineering,67.0
S0794,Data Engineering,60.0
S0795,Cloud Computing,93.0
S0796,Data Engineering,83.0
S0797,Data Science,51.0
S0798,Data Engineering,88.0
S0799,Data Science,69.0
S0800,Cloud Computing,79.0
S0801,Data Science,56.0
S0802,Cloud Computing,55.0
S0803,Cloud Computing,54.0
S0804,Cloud Computing,52.0
S0805,Data Engineering,90.0
S0806,AI Fundamentals,90.0
S0807,AI Fundamentals,66.0
S0808,Data Science,57.0
S0809,AI Fundamentals,90.0
S0810,Cloud Computing,74.0
S0811,AI Fundamentals,73.0
S0812,Data Science,72.0
S0813,Cloud Computing,91.0
S0814,Data Engineering,56.0
S0815,Cloud Computing,64.0
S0816,Cloud Computing,89.0
S0817,Data Science,74.0
S0818,Data Engineering,81.0
S0819,Cloud Computing,70.0
S0820,Data Engineering,68.0
S0821,Cloud Computing,85.0
S0822,Cloud Computing,82.0
S0823,Data Science,70.0
S0824,Cloud Computing,74.0
S0825,Cloud Computing,82.0
S0826,Cloud Computing,77.0
S0827,AI Fundamentals,94.0
S0828,Data Engineering,86.0
S0829,Data Science,68.0
S0830,Data Science,72.0
S0831,Data Science,84.0
S0832,Cloud Computing,81.0
S0833,Data Engineering,100.0
S0834,AI Fundamentals,68.0
S0835,AI Fundamentals,64.0
S0836,Data Science,57.0
S0837,Data Engineering,61.0
S0838,AI Fundamentals,60.0
S0839,Data Science,88.0
S0840,AI Fundamentals,91.0
S0841,AI Fundamentals,72.0
S0842,Data Engineering,50.0
S0843,Data Science,84.0
S0844,AI Fundamentals,67.0
S0845,Cloud Computing,92.0
S0846,Cloud Computing,56.0
S0847,AI Fundamentals,53.0
S0848,Data Engineering,90.0
S0849,Data Engineering,77.0
S0850,AI Fundamentals,62.0
S0851,Data Engineering,89.0
S0852,Data Engineering,71.0
S0853,Cloud Computing,75.0
S0854,Data Science,50.0
S0855,Data Science,93.0
S0856,AI Fundamentals,84.0
S0857,AI Fundamentals,51.0
S0858,AI Fundamentals,98.0
S0859,Cloud Computing,93.0
S0860,Cloud Computing,87.0
S0861,Data Engineering,96.0
S0862,Cloud Computing,93.0
S0863,Data Science,75.0
S0864,Cloud Computing,73.0
S0865,AI Fundamentals,92.0
S0866,Data Science,54.0
S0867,Data Engineering,57.0
S0868,Data Science,79.0
S0869,Cloud Computing,51.0
S0870,Cloud Computing,73.0
S0871,Data Engineering,73.0
S0872,AI Fundamentals,74.0
S0873,Data Engineering,75.0
S0874,Data Engineering,55.0
S0875,Data Engineering,72.0
S0876,Data Engineering,99.0
S0877,Cloud Computing,66.0
S0878,AI Fundamentals,81.0
S0879,Data Science,98.0
S0880,AI Fundamentals,50.0
S0881,AI Fundamentals,100.0
S0882,Data Engineering,53.0
S0883,AI Fundamentals,83.0
S0884,Data Engineering,81.0
S0885,Data Science,56.0
S0886,Data Engineering,50.0
S0887,Data Science,58.0
S0888,AI Fundamentals,74.0
S0889,Data Engineering,56.0
S0890,Cloud Computing,61.0
S0891,Data Science,54.0
S0892,AI Fundamentals,87.0
S0893,Data Science,57.0
S0894,Data Engineering,75.0
S0895,Cloud Computing,92.0
S0896,Data Science,55.0
S0897,Data Science,87.0
S0898,Data Science,54.0
S0899,AI Fundamentals,92.0
S0900,Cloud Computing,62.0
S0901,Cloud Computing,66.0
S0902,Cloud Computing,55.0
S0903,Data Science,63.0
S0904,Data Science,61.0
S0905,Data Science,72.0
S0906,Data Science,92.0
S0907,Data Engineering,89.0
S0908,Data Engineering,50.0
S0909,AI Fundamentals,74.0
S0910,Data Science,98.0
S0911,AI Fundamentals,77.0
S0912,Cloud Computing,80.0
S0913,Data Science,74.0
S0914,Data Engineering,78.0
S0915,Data Science,74.0
S0916,Cloud Computing,80.0
S0917,AI Fundamentals,96.0
